Date,Open,High,Low,Close,Adj Close,Volume
01/10/2014,48.259998,49.869999,46.799999,49.869999,26.49371,0
01/11/2014,49.84,50.82,49.650002,50.639999,26.902773,0
01/12/2014,50.369999,50.709999,48.43,50.25,26.695583,0
01/01/2015,49.950001,49.950001,48.639999,48.700001,26.162251,0
01/02/2015,49.209999,51.66,49.209999,51.639999,27.741655,0
01/03/2015,51.82,51.970001,50.349998,51.139999,27.473045,0
01/04/2015,51.110001,52.73,51.110001,52.23,28.058611,0
01/05/2015,52.48,53.560001,52.139999,52.790001,28.359449,0
01/06/2015,52.759998,53.790001,52.299999,52.419998,28.160677,0
01/07/2015,52.830002,53.119999,51.360001,52.650002,28.284241,0
01/08/2015,52.5,52.889999,48.43,50.639999,27.204437,0
01/09/2015,49.419998,50.240002,46.68,47.369999,25.447756,0
01/10/2015,47.389999,49.43,47.389999,49.25,27.464113,0
01/11/2015,49.709999,49.880001,47.889999,49.450001,27.575644,0
01/12/2015,49.849998,49.849998,47.040001,47.75,26.627647,0
01/01/2016,47.189999,47.189999,43.490002,45.200001,25.408581,0
01/02/2016,45.330002,45.73,42.869999,45.52,25.588463,0
01/03/2016,46.389999,48.400002,46.389999,48.220001,27.106226,0
01/04/2016,48.189999,48.669998,47.110001,48.07,27.021904,0
01/05/2016,48.279999,48.52,47.080002,48.52,27.274876,0
01/06/2016,48.57,49.540001,45.779999,47.919998,26.937588,0
01/07/2016,48.029999,49.57,47.23,49.57,27.865116,0
01/08/2016,49.400002,50.400002,49.080002,49.740002,27.960678,0
01/09/2016,49.790001,50.459999,47.700001,48.77,27.415405,0
01/10/2016,48.650002,48.830002,47.509998,47.509998,27.530401,0
01/11/2016,47.330002,50.27,46.889999,50.099998,29.031221,0
01/12/2016,50.009998,51.259998,49.48,49.48,28.671957,0
01/01/2017,49.689999,50.349998,49.490002,50.060001,29.539364,0
01/02/2017,50.18,51.43,50.099998,51.139999,30.176641,0
01/03/2017,51.549999,51.650002,50.900002,51.610001,30.453983,0
01/04/2017,51.380001,52.82,51.150002,52.400002,30.920147,0
01/05/2017,52.380001,53.119999,52.029999,52.98,31.26239,0
01/06/2017,53.5,53.610001,52.950001,53.310001,31.457121,0
01/07/2017,53.5,54.380001,52.98,54.380001,32.088501,0
01/08/2017,54.48,54.759998,53.669998,54.48,32.147507,0
01/09/2017,54.639999,55.360001,51,51.860001,30.6015,0
01/10/2017,52.119999,52.740002,52.040001,52.740002,33.604046,0
01/11/2017,52.630001,54.279999,52.189999,54.279999,34.585278,0
01/12/2017,54.23,54.66,53.369999,54.52,34.738205,0
01/01/2018,54.869999,58.259998,54.869999,56.889999,36.770554,0
01/02/2018,56.93,56.93,52.860001,54.380001,35.148228,0
01/03/2018,54,55.349998,53.080002,53.939999,34.863834,0
01/04/2018,53.150002,55.599998,53.150002,55.07,35.594204,0
01/05/2018,54.82,55.77,54.200001,54.689999,35.348595,0
01/06/2018,55.080002,56.419998,54.889999,55,35.548962,0
01/07/2018,54.759998,55.93,54.759998,55.650002,35.969086,0
01/08/2018,55.34,56.259998,54.669998,56.049999,36.227623,0
